quarter,department,expense_type,revenue,expenses,investment,roi_percentage,economic_index,profit
2019-09-30,Marketing,COGS,413007.93,323842.39,73897.94,0.14,119.73,89165.54
2022-12-31,Marketing,Admin,420513.35,354958.68,57129.7,0.216,103.35,65554.67
2021-09-30,Finance,Utilities,527728.69,197346.58,39235.95,0.154,103.61,330382.11
2020-09-30,Sales,Marketing Spend,538899.79,311537.87,37609.48,0.169,89.59,227361.92
2019-12-31,Operations,Utilities,477607.42,291030.95,34847.73,0.213,114.3,186576.47
2023-03-31,Sales,Marketing Spend,648448.39,194696.46,32416.63,0.194,97.16,453751.93
2019-09-30,IT,COGS,574977.3,184576.39,66576.67,0.182,111.74,390400.91
2024-06-30,Operations,Utilities,464906.21,249768.43,31361.66,0.191,112.43,215137.78
2022-09-30,Sales,Salaries,370928.97,247853.64,44127.96,0.103,86.99,123075.33
2023-09-30,Finance,Admin,599142.26,280861.55,53538.79,0.073,100.07,318280.71
2020-09-30,Finance,Utilities,602647.59,310252.95,42555.63,0.175,95.36,292394.64
2020-09-30,Operations,R&D,490097.37,339527.39,36287.86,0.095,86.19,150569.98
2023-12-31,IT,Marketing Spend,527688.2,200952.91,73897.54,0.06,84.94,326735.29
2023-03-31,Finance,Utilities,570124.35,227729.57,37749.27,0.101,81.83,342394.78
2018-12-31,Finance,Salaries,660310.36,230439.9,53551.1,0.194,108.08,429870.46
2019-12-31,IT,Marketing Spend,588725.95,290483.11,39628.14,0.192,111.29,298242.84
2023-12-31,Sales,Salaries,544501.76,302245.87,38486.3,0.231,98.86,242255.89
2018-09-30,Finance,Admin,592974.97,379926.45,23406.29,0.185,102.56,213048.52
2023-06-30,Marketing,Admin,615112.37,226635.2,50313.09,0.138,90.48,388477.17
2023-03-31,Finance,Admin,527071.94,362024.49,24094.21,0.102,108.59,165047.45
2018-06-30,Sales,COGS,591752.93,181524.03,55782.46,0.202,103.36,410228.9
2023-12-31,Sales,Salaries,432369.11,301537.47,44114.4,0.132,115.29,130831.64
2020-12-31,Operations,Utilities,603526.58,344128.12,30854.67,0.213,109.85,259398.46
2019-06-30,Marketing,R&D,433200.23,350671.73,27276.83,0.22,80.76,82528.5
2018-06-30,Sales,R&D,399166.88,435308.81,3976.4,0.12,112.39,-36141.93
2024-12-31,IT,Admin,487115.73,490223.95,63065.68,0.119,81.09,-3108.22
2023-03-31,Marketing,R&D,365824.2,332431.97,48925.12,0.233,112.55,33392.23
2018-03-31,Marketing,Marketing Spend,440349.84,194543.76,53147.63,0.129,119.49,245806.08
2020-12-31,IT,Salaries,537847.38,604733.21,59926.77,0.191,99.24,-66885.83
2024-06-30,Finance,Salaries,527792.42,391368.25,81624.05,0.126,89.08,136424.17
2023-06-30,IT,Salaries,563955.86,382425.26,30843.33,0.196,80.38,181530.6
2020-12-31,IT,Marketing Spend,565500.31,265829.52,37583.04,0.085,86.01,299670.79
2024-03-31,Finance,Utilities,537421.03,290249.12,60547.49,0.217,100.15,247171.91
2022-03-31,Finance,COGS,414835.15,233969.49,64707.19,0.247,112.26,180865.66
2024-09-30,Finance,Marketing Spend,592326.99,353797.86,51223.52,0.203,114.86,238529.13
2024-09-30,Finance,Salaries,489038.23,262915.8,9406.02,0.122,107.34,226122.43
2020-06-30,Finance,Salaries,524027.13,357485.07,5471.48,0.161,83.47,166542.06
2024-12-31,IT,Salaries,510410.71,240815.36,48434.22,0.184,119.65,269595.35
2024-12-31,Operations,Utilities,657460.08,376035.21,71698.2,0.089,109.88,281424.87
2021-12-31,Operations,R&D,380512.5,322623.56,78725.36,0.107,97.06,57888.94
2021-09-30,Sales,COGS,465687.63,401724.85,15841.29,0.21,112.55,63962.78
2021-09-30,Operations,Marketing Spend,553135.45,468917.09,59308.65,0.239,103.54,84218.36
2022-09-30,Operations,Salaries,502190.86,322662.62,58873.1,0.104,104.11,179528.24
2020-12-31,IT,Admin,451530.17,409213.93,39375.88,0.08,118.85,42316.24
2023-09-30,Finance,COGS,308196.32,409592.15,52814.97,0.246,112.05,-101395.83
2022-12-31,Finance,Admin,471306.96,298300.12,45140.49,0.114,90.49,173006.84
2024-03-31,IT,COGS,536242.45,320810.88,27080.56,0.206,87.01,215431.57
2018-09-30,Operations,Salaries,554351.48,321702.35,37530.37,0.126,86.89,232649.13
2019-03-31,IT,COGS,483192.58,265094.49,90348.41,0.24,98.18,218098.09
2022-09-30,Sales,COGS,517797.67,265837.4,55785.94,0.17,95.54,251960.27
2019-09-30,Finance,Salaries,385651.65,397975.35,25767.71,0.133,98.11,-12323.7
2023-03-31,Marketing,Utilities,538940.3,243178.76,27505.6,0.086,82.51,295761.54
2020-03-31,Sales,Admin,500943.83,288051.07,81145.45,0.101,88.08,212892.76
2019-09-30,Sales,Utilities,516520.93,273866.46,40212.71,0.221,111.9,242654.47
2022-06-30,IT,Admin,478055.59,336822.3,42525.46,0.061,110.3,141233.29
2018-12-31,Operations,R&D,521282.3,484032.51,65850.61,0.081,95.73,37249.79
2024-03-31,Finance,Admin,563461.19,284845.21,43195.99,0.089,95.62,278615.98
2024-12-31,Marketing,Admin,525545.84,184682.34,39362.96,0.064,115.35,340863.5
2021-06-30,Sales,COGS,317711.54,308495.2,54440.92,0.187,87.28,9216.34
2022-06-30,Marketing,R&D,527616.54,222173.22,35836.14,0.246,94.29,305443.32
2024-06-30,Operations,Salaries,461213.28,320558.74,40634.19,0.078,110.54,140654.54
2020-03-31,Operations,Salaries,429180.56,239041.83,81870.55,0.21,102.98,190138.73
2024-06-30,Marketing,Marketing Spend,634917.3,313046.44,33536.58,0.085,82.41,321870.86
2023-03-31,Finance,R&D,406748.49,204507.33,45019.37,0.245,80.47,202241.16
2018-06-30,Operations,COGS,418032.04,278735.14,92735.02,0.151,80.77,139296.9
2022-12-31,Marketing,Marketing Spend,275861.04,220568.73,-20147.99,0.22,106.24,55292.31
