customer_id,campaign,channel,customer_segment,budget,clicks,impressions,conversions,customer_acquisition_cost,revenue_generated,roas
1,Campaign_C,Search Ads,Loyal Customer,7569.94,52,983,0,19.14,11.19,0.0
2,Campaign_D,Display Ads,Returning Customer,1541.89,48,993,0,90.26,824.06,0.53
3,Campaign_A,Search Ads,New Customer,8703.57,60,993,0,27.96,631.37,0.07
4,Campaign_C,Display Ads,Returning Customer,6468.91,50,981,1,43.0,1004.04,0.16
5,Campaign_C,Display Ads,Loyal Customer,2371.24,70,1000,0,85.62,1346.67,0.57
6,Campaign_D,Search Ads,Loyal Customer,1661.43,54,1006,0,98.13,393.97,0.24
7,Campaign_A,Social Media,Loyal Customer,6313.48,56,1026,0,37.96,1010.52,0.16
8,Campaign_A,Display Ads,Loyal Customer,9018.29,39,1006,1,44.49,227.5,0.03
9,Campaign_C,Search Ads,Returning Customer,7211.77,45,987,0,53.71,128.39,0.02
10,Campaign_B,Email,New Customer,3550.61,53,996,0,54.82,1397.74,0.39
11,Campaign_C,Search Ads,Returning Customer,5915.1,49,1093,0,77.53,1293.43,0.22
12,Campaign_C,Email,New Customer,3176.54,52,932,0,83.54,752.11,0.24
13,Campaign_C,Display Ads,Loyal Customer,9991.58,58,923,1,99.19,207.48,0.02
14,Campaign_C,Search Ads,New Customer,7513.51,42,1018,0,82.38,394.98,0.05
15,Campaign_D,Search Ads,Loyal Customer,6182.38,38,961,0,36.98,851.07,0.14
16,Campaign_A,Email,Returning Customer,4290.27,35,963,0,42.23,977.77,0.23
17,Campaign_D,Search Ads,New Customer,6219.71,44,986,0,65.63,1035.91,0.17
18,Campaign_D,Search Ads,Returning Customer,3482.0,53,945,0,71.8,1121.72,0.32
19,Campaign_D,Display Ads,Loyal Customer,385.76,46,1010,0,18.1,314.81,0.82
20,Campaign_C,Search Ads,Returning Customer,4011.38,49,985,0,40.93,444.38,0.11
21,Campaign_B,Social Media,Loyal Customer,9311.76,52,1044,0,28.24,18.93,0.0
22,Campaign_A,Email,Loyal Customer,6300.38,50,1021,1,55.71,110.98,0.02
