timestamp,process_stage,machine_id,shift,units_processed,cycle_time_sec,downtime_min,defect_rate,operator_efficiency,energy_consumed_kwh
2022-01-01 00:00:00,Inspection,M2,Evening,29,306.73,26.42,0.032,0.74,70.6
2022-01-01 01:00:00,Packaging,M4,Morning,21,318.17,13.88,0.052,0.83,43.02
2022-01-01 02:00:00,Painting,M5,Morning,19,312.54,11.79,0.077,0.8,63.04
2022-01-01 03:00:00,Packaging,M4,Morning,28,294.89,10.66,0.043,0.96,37.31
2022-01-01 04:00:00,Packaging,M4,Night,20,320.56,2.99,0.007,0.85,49.46
2022-01-01 05:00:00,Assembly,M5,Morning,24,312.11,31.53,0.099,0.83,38.28
2022-01-01 06:00:00,Painting,M4,Morning,18,304.88,7.81,0.071,0.77,53.77
2022-01-01 07:00:00,Painting,M5,Morning,17,308.31,2.51,0.072,0.99,47.96
2022-01-01 08:00:00,Painting,M5,Night,17,359.15,2.36,0.047,0.99,49.49
2022-01-01 09:00:00,Packaging,M5,Evening,24,239.75,16.89,0.055,0.81,63.12
2022-01-01 10:00:00,Inspection,M2,Evening,19,284.07,2.88,0.099,0.98,62.44
2022-01-01 11:00:00,Painting,M3,Morning,19,316.91,0.42,0.06,0.89,48.28
2022-01-01 12:00:00,Packaging,M2,Morning,24,220.86,5.59,0.022,0.93,61.07
2022-01-01 13:00:00,Assembly,M5,Evening,20,369.13,17.0,0.096,0.73,61.5
2022-01-01 14:00:00,Inspection,M3,Evening,27,312.74,5.35,0.054,0.71,61.09
2022-01-01 15:00:00,Assembly,M3,Evening,20,347.85,16.27,0.002,0.85,51.48
2022-01-01 16:00:00,Inspection,M5,Evening,17,355.99,17.56,0.057,0.72,53.31
2022-01-01 17:00:00,Packaging,M3,Morning,19,320.62,19.5,0.007,0.97,47.16
2022-01-01 18:00:00,Cutting,M3,Morning,13,188.37,8.89,0.053,0.95,73.34
2022-01-01 19:00:00,Inspection,M2,Morning,19,307.38,12.02,0.083,0.91,53.99
2022-01-01 20:00:00,Assembly,M3,Evening,20,310.59,3.04,0.054,0.71,49.18
2022-01-01 21:00:00,Packaging,M5,Night,20,245.66,1.05,0.037,0.84,55.03
2022-01-01 22:00:00,Inspection,M1,Evening,15,210.52,7.61,0.088,0.72,52.72
2022-01-01 23:00:00,Cutting,M1,Evening,21,323.08,0.11,0.093,0.98,70.62
2022-01-02 00:00:00,Cutting,M1,Night,15,237.54,6.27,0.035,0.88,49.78
2022-01-02 01:00:00,Painting,M5,Night,22,403.07,1.08,0.05,0.75,57.66
2022-01-02 02:00:00,Painting,M1,Evening,16,313.16,1.15,0.098,0.87,48.81
2022-01-02 03:00:00,Assembly,M2,Night,24,367.58,20.46,0.018,0.74,33.13
2022-01-02 04:00:00,Inspection,M5,Night,18,301.56,10.23,0.03,0.74,50.01
2022-01-02 05:00:00,Inspection,M5,Night,13,337.58,10.36,0.043,0.72,58.53
2022-01-02 06:00:00,Painting,M5,Evening,9,302.66,5.18,0.01,0.96,51.36
2022-01-02 07:00:00,Inspection,M3,Evening,22,350.28,5.33,0.027,0.86,38.44
2022-01-02 08:00:00,Inspection,M3,Night,22,198.08,3.61,0.054,0.8,65.85
2022-01-02 09:00:00,Cutting,M3,Morning,26,344.41,5.7,0.023,0.7,38.1
2022-01-02 10:00:00,Painting,M4,Night,25,333.44,8.85,0.069,0.84,42.27
2022-01-02 11:00:00,Packaging,M2,Night,19,292.29,2.07,0.035,0.85,38.75
2022-01-02 12:00:00,Painting,M5,Evening,23,279.54,3.03,0.009,0.8,39.64
2022-01-02 13:00:00,Packaging,M5,Morning,17,285.04,6.83,0.076,0.85,50.45
2022-01-02 14:00:00,Cutting,M3,Night,18,314.14,4.86,0.057,0.73,56.11
2022-01-02 15:00:00,Assembly,M5,Morning,22,360.7,17.12,0.082,0.98,44.13
2022-01-02 16:00:00,Inspection,M5,Evening,14,273.29,17.24,0.036,0.78,55.64
2022-01-02 17:00:00,Cutting,M1,Morning,19,214.91,4.09,0.002,0.98,57.69
2022-01-02 18:00:00,Inspection,M5,Evening,18,424.23,5.99,0.005,0.85,46.71
2022-01-02 19:00:00,Assembly,M4,Night,13,333.58,37.54,0.08,0.96,34.86
2022-01-02 20:00:00,Assembly,M3,Evening,24,280.44,17.57,0.041,0.87,65.14
2022-01-02 21:00:00,Cutting,M2,Morning,25,359.44,2.43,0.098,0.95,43.29
2022-01-02 22:00:00,Assembly,M2,Morning,19,346.68,3.29,0.083,0.7,27.9
2022-01-02 23:00:00,Packaging,M1,Morning,22,324.61,0.87,0.002,0.76,46.11
2022-01-03 00:00:00,Assembly,M2,Night,23,276.15,11.33,0.087,0.81,55.84
2022-01-03 01:00:00,Inspection,M2,Morning,13,333.37,3.81,0.021,0.79,57.34
2022-01-03 02:00:00,Inspection,M3,Morning,23,354.48,7.69,0.049,0.98,38.63
2022-01-03 03:00:00,Inspection,M3,Morning,20,214.0,14.62,0.051,0.82,31.51
2022-01-03 04:00:00,Inspection,M4,Evening,21,311.22,18.08,0.006,0.99,53.06
2022-01-03 05:00:00,Packaging,M1,Morning,23,314.91,3.94,0.013,0.9,55.17
2022-01-03 06:00:00,Painting,M2,Evening,24,313.3,2.71,0.042,0.95,61.18
2022-01-03 07:00:00,Cutting,M4,Morning,22,302.31,18.87,0.064,0.82,60.03
2022-01-03 08:00:00,Inspection,M1,Evening,24,359.3,4.8,0.026,0.76,51.47
2022-01-03 09:00:00,Assembly,M2,Evening,22,289.43,17.26,0.053,0.72,40.81
2022-01-03 10:00:00,Inspection,M2,Night,14,299.86,1.62,0.038,0.9,45.17
2022-01-03 11:00:00,Assembly,M3,Night,16,315.78,24.29,0.063,0.99,47.57
2022-01-03 12:00:00,Assembly,M5,Evening,18,291.1,6.6,0.042,0.74,40.85
2022-01-03 13:00:00,Inspection,M1,Evening,24,230.7,1.86,0.085,0.93,60.81
2022-01-03 14:00:00,Packaging,M2,Night,19,310.71,7.66,0.098,0.81,60.28
2022-01-03 15:00:00,Assembly,M1,Evening,24,311.27,20.4,0.091,1.0,36.04
2022-01-03 16:00:00,Assembly,M4,Night,22,281.74,4.93,0.017,0.96,46.78
2022-01-03 17:00:00,Inspection,M4,Night,19,293.38,1.96,0.046,0.77,70.62
2022-01-03 18:00:00,Assembly,M5,Morning,12,141.01,8.59,0.046,0.93,61.63
2022-01-03 19:00:00,Assembly,M2,Morning,17,360.42,17.99,0.084,0.92,51.88
2022-01-03 20:00:00,Inspection,M3,Night,15,345.05,1.29,0.036,0.93,60.96
2022-01-03 21:00:00,Inspection,M2,Night,22,233.11,0.42,0.055,0.72,66.49
2022-01-03 22:00:00,Cutting,M1,Evening,22,266.23,0.58,0.061,0.94,50.95
2022-01-03 23:00:00,Packaging,M4,Night,14,372.43,2.62,0.011,0.78,36.43
2022-01-04 00:00:00,Packaging,M1,Night,14,242.26,0.07,0.056,0.88,58.6
2022-01-04 01:00:00,Assembly,M5,Morning,18,323.92,5.6,0.025,0.73,59.11
2022-01-04 02:00:00,Packaging,M4,Night,17,275.4,11.96,0.021,0.87,39.94
