date,department,region,employees,operational_cost,marketing_spend,customer_satisfaction,new_customers,customer_retention_rate,sales_volume,revenue
2023-05-01,Sales,South,53,44013.43,27432.89,4.82,49,0.71,235165.77,216621.67
2022-03-01,Sales,North,35,61954.25,24464.65,4.59,38,0.63,229357.77,225457.95
2021-08-01,Marketing,Central,48,61730.04,24256.18,3.5,46,0.85,218889.2,212593.12
2022-09-01,Finance,West,63,68282.31,27136.96,4.27,52,0.7,306557.79,281959.51
2022-07-01,Marketing,South,27,19786.26,33621.22,4.33,44,0.85,242456.19,267293.14
2022-11-01,Sales,South,72,72443.17,13527.43,3.18,43,0.73,142511.2,147218.18
2021-11-01,Marketing,Central,96,36115.72,17668.94,3.85,53,0.61,211822.16,190876.02
2021-11-01,Marketing,South,46,75621.52,32262.1,3.62,59,0.66,235200.72,228144.86
2022-12-01,Finance,North,46,83355.63,33712.68,3.31,50,0.87,215286.52,188581.34
2023-12-01,Operations,Central,17,67866.18,26768.28,3.12,58,0.68,161826.1,149307.26
2022-12-01,Marketing,North,5,37140.62,34553.43,3.05,54,0.68,159305.75,151514.72
2021-03-01,Marketing,East,80,31332.83,14796.63,4.72,51,0.72,139248.26,136985.65
2022-10-01,Sales,West,57,39421.23,22555.69,3.66,44,0.66,215965.41,217131.7
2021-02-01,Sales,South,44,58556.86,22336.01,3.99,47,0.79,172539.62,167784.29
2022-12-01,Sales,Central,94,34050.16,21222.91,3.58,55,0.78,160608.88,159607.59
2023-06-01,Customer Support,North,50,22123.52,38316.89,3.33,41,0.82,175907.0,175859.3
2021-02-01,Marketing,West,91,66216.52,39507.25,3.52,50,0.94,152962.8,147292.93
2022-09-01,Sales,West,26,40994.58,7519.49,3.34,50,0.64,215754.89,204452.71
2023-09-01,Finance,South,56,63717.86,10231.92,4.52,44,0.73,197326.34,204922.87
2021-12-01,Customer Support,West,32,61574.73,31273.36,4.82,55,0.77,229148.88,226423.66
2022-10-01,Operations,South,57,52964.37,24032.35,3.87,43,0.92,170832.3,157929.82
2023-01-01,Marketing,East,67,62590.38,28653.6,4.65,46,0.82,206953.18,187232.89
2023-03-01,Marketing,South,21,72211.55,33217.83,3.85,43,0.75,207869.5,209303.46
2023-04-01,Finance,North,68,61462.8,47755.63,3.89,56,0.62,221462.09,215032.93
2022-04-01,Operations,West,10,61865.06,29258.54,3.97,49,0.87,204204.46,184905.78
2022-03-01,Operations,West,18,55814.66,38571.13,4.64,51,0.8,142751.15,147131.62
2021-03-01,Customer Support,West,21,43504.13,25662.43,4.87,39,0.84,225540.28,232103.64
2021-07-01,Marketing,South,42,54624.45,34570.41,4.49,50,0.71,234257.36,221272.62
2022-09-01,Sales,Central,73,53136.22,37079.51,4.78,48,0.69,204493.2,190643.67
2021-09-01,Finance,South,17,57337.14,24842.02,4.29,51,0.82,184908.43,170001.74
2022-06-01,Finance,North,57,55003.88,23226.64,4.68,57,0.75,264229.56,238638.49
2021-04-01,Finance,South,13,43140.08,25224.1,4.11,59,0.72,225104.75,243966.35
2023-01-01,Finance,West,48,67091.62,38695.84,4.55,45,0.67,222141.86,234216.77
2022-02-01,Sales,East,30,42091.07,37262.96,4.41,41,0.74,208612.74,200993.23
2021-09-01,Sales,North,81,55913.15,5075.06,4.5,61,0.93,177535.11,162006.55
2023-02-01,Customer Support,East,23,57725.59,25786.32,3.47,53,0.64,236398.62,223519.83
2021-02-01,Marketing,North,52,34250.88,34304.9,3.31,51,0.66,181414.01,174463.83
2022-08-01,Sales,North,85,73427.39,45570.74,4.31,42,0.81,231728.18,209855.89
2023-04-01,Customer Support,West,84,49384.8,29000.56,3.97,57,0.68,139450.93,125197.55
2021-07-01,Operations,South,34,35095.22,33745.24,4.53,53,0.91,237853.92,218335.4
2021-08-01,Marketing,West,36,50005.46,31021.25,3.29,33,0.9,207647.8,219349.42
2023-11-01,Sales,West,82,35382.54,24772.49,4.9,52,0.75,216318.34,229609.56
2022-02-01,Operations,West,83,41300.64,16554.61,4.41,66,0.84,270522.38,257180.91
2022-05-01,Customer Support,East,80,41007.35,17477.25,3.05,47,0.87,195249.09,201377.7
