transaction_id,products,total_price,discount,effective_price
1,"['Backpack', 'Mouse', 'Smartphone', 'Charger']",815,0,815.0
2,"['USB Drive', 'Laptop']",1020,20,816.0
3,"['Monitor', 'Backpack', 'Headphones', 'Smartphone']",1140,10,1026.0
4,"['Mouse', 'Laptop']",1030,5,978.5
5,"['Mouse', 'Tablet', 'Backpack']",490,0,490.0
6,"['Tablet', 'Keyboard']",450,0,450.0
7,"['Monitor', 'Keyboard', 'Headphones', 'Smartphone']",1130,0,1130.0
8,"['Mouse', 'Keyboard', 'Charger', 'USB Drive']",125,15,106.25
9,"['Monitor', 'Tablet']",700,5,665.0
10,"['USB Drive', 'Keyboard', 'Charger', 'Smartphone', 'Monitor']",1095,10,985.5
11,"['Monitor', 'Laptop', 'Smartphone', 'Headphones', 'Tablet']",2480,0,2480.0
12,"['Monitor', 'Keyboard', 'Mouse', 'USB Drive']",400,20,320.0
13,"['Backpack', 'Headphones', 'Charger', 'Laptop']",1165,10,1048.5
14,"['Mouse', 'Charger']",55,0,55.0
15,"['USB Drive', 'Monitor']",320,0,320.0
16,"['Charger', 'Keyboard', 'Backpack']",135,0,135.0
17,"['Charger', 'Laptop', 'Smartphone', 'USB Drive', 'Backpack']",1805,0,1805.0
18,"['Headphones', 'Charger', 'Keyboard', 'Monitor', 'Mouse']",485,5,460.75
19,"['Monitor', 'Keyboard', 'Tablet', 'Laptop']",1750,0,1750.0
20,"['Tablet', 'Smartphone', 'Laptop', 'USB Drive']",2120,0,2120.0
21,"['USB Drive', 'Smartphone']",720,5,684.0
22,"['USB Drive', 'Headphones', 'Tablet']",500,0,500.0
23,"['Mouse', 'USB Drive', 'Monitor', 'Headphones', 'Laptop']",1430,0,1430.0
24,"['Keyboard', 'Headphones', 'USB Drive']",150,0,150.0
25,"['Tablet', 'Smartphone', 'Laptop']",2100,0,2100.0
26,"['Keyboard', 'Tablet', 'Mouse']",480,10,432.0
27,"['Backpack', 'Keyboard']",110,0,110.0
28,"['Tablet', 'Laptop', 'Charger', 'Keyboard']",1475,5,1401.25
29,"['Monitor', 'Keyboard', 'Mouse', 'USB Drive']",400,5,380.0
30,"['Smartphone', 'Backpack', 'Tablet']",1160,0,1160.0
31,"['Monitor', 'USB Drive']",320,5,304.0
32,"['USB Drive', 'Headphones', 'Keyboard', 'Mouse']",180,0,180.0
33,"['Monitor', 'Mouse', 'Tablet', 'Charger', 'Backpack']",815,0,815.0
34,"['Tablet', 'Headphones', 'Monitor', 'USB Drive']",800,15,680.0
35,"['Backpack', 'Mouse', 'Keyboard', 'Charger', 'Smartphone']",865,20,692.0
36,"['Backpack', 'Keyboard', 'Tablet']",510,10,459.0
37,"['Keyboard', 'Laptop', 'Monitor']",1350,0,1350.0
38,"['Smartphone', 'Laptop', 'USB Drive', 'Charger']",1745,0,1745.0
39,"['Charger', 'Backpack', 'USB Drive', 'Monitor', 'Smartphone']",1105,5,1049.75
40,"['USB Drive', 'Tablet']",420,0,420.0
41,"['Headphones', 'Charger', 'Backpack', 'Monitor']",465,0,465.0
42,"['Charger', 'Headphones']",105,0,105.0
43,"['Tablet', 'Headphones', 'Mouse']",510,0,510.0
44,"['Charger', 'Laptop']",1025,15,871.25
45,"['Charger', 'Monitor']",325,0,325.0
46,"['Mouse', 'Backpack']",90,5,85.5
47,"['Mouse', 'Charger']",55,0,55.0
48,"['Smartphone', 'Tablet', 'Backpack', 'Keyboard']",1210,5,1149.5
49,"['Headphones', 'Laptop']",1080,5,1026.0
50,"['USB Drive', 'Smartphone']",720,0,720.0
51,"['Smartphone', 'Keyboard', 'Tablet']",1150,20,920.0
52,"['Smartphone', 'Mouse', 'Tablet']",1130,10,1017.0
53,"['Smartphone', 'Charger', 'Backpack', 'Headphones']",865,15,735.25
54,"['Keyboard', 'Smartphone', 'USB Drive', 'Charger']",795,15,675.75
55,"['Smartphone', 'Headphones', 'Laptop', 'Backpack']",1840,5,1748.0
56,"['Tablet', 'Backpack', 'Smartphone', 'USB Drive']",1180,15,1003.0
57,"['Mouse', 'Tablet']",430,0,430.0
58,"['Monitor', 'Laptop', 'Backpack', 'Smartphone', 'Mouse']",2090,0,2090.0
59,"['Smartphone', 'Tablet', 'Keyboard', 'Mouse']",1180,0,1180.0
60,"['Smartphone', 'Charger']",725,0,725.0
61,"['Headphones', 'Smartphone']",780,0,780.0
62,"['Keyboard', 'Smartphone', 'Backpack', 'Tablet']",1210,0,1210.0
63,"['Smartphone', 'Mouse', 'USB Drive', 'Laptop']",1750,10,1575.0
64,"['Keyboard', 'USB Drive', 'Mouse', 'Monitor']",400,0,400.0
65,"['Mouse', 'Charger', 'Laptop']",1055,0,1055.0
66,"['Monitor', 'Charger', 'Mouse', 'Keyboard']",405,5,384.75
67,"['Smartphone', 'Backpack', 'Monitor', 'USB Drive', 'Tablet']",1480,0,1480.0
