date,price,demand,competitor_price,economic_index,promotion,day_of_week,month,year,quarter,week_of_year,demand_moving_avg,price_change,demand_lag_1
2015-01-01,20.24835708,391.9732673,18.44895197,0.725858294,0,3,1,2015,1,1,391.9732673,0.0,400.1406805
2015-01-02,19.97799451,397.3692214,21.91892703,1.215202447,0,4,1,2015,1,1,394.6712444,-0.013352321,391.9732673
2015-01-03,20.41808597,392.5641244,21.6432466,0.971469469,0,5,1,2015,1,1,393.968871,0.02202881,397.3692214
2015-01-04,20.9028484,397.5324547,22.44468043,0.981343256,0,6,1,2015,1,1,394.8597669,0.023741816,392.5641244
2015-01-05,20.07131369,412.8718473,20.85126197,0.994398416,0,0,1,2015,1,2,398.462183,-0.039780928,397.5324547
2015-01-06,20.1183323,393.2686119,18.85510235,1.039020593,0,1,1,2015,1,2,397.5965878,0.002342578,412.8718473
2015-01-07,21.0719595,406.533105,19.09552957,1.00057374,0,2,1,2015,1,2,398.8732331,0.047400907,393.2686119
2015-01-08,20.71295309,390.8171395,22.22357613,0.987360551,0,3,1,2015,1,2,398.708072,-0.017037163,406.533105
2015-01-09,20.14129991,393.3296953,19.72369283,1.131691911,0,4,1,2015,1,2,398.1309969,-0.027598825,390.8171395
2015-01-10,20.69402571,407.5420267,19.71670844,1.057459698,0,5,1,2015,1,2,400.2706972,0.027442409,393.3296953
2015-01-11,20.2376411,411.1709978,20.48726414,0.905119715,0,6,1,2015,1,2,402.2190605,-0.022053931,407.5420267
2015-01-12,20.28297349,410.552578,19.96209086,1.075167501,0,0,1,2015,1,3,401.8877363,0.002240004,411.1709978
2015-01-13,20.68318063,387.192839,21.31056767,1.05361082,0,1,1,2015,1,3,401.0197687,0.019731187,410.552578
2015-01-14,19.65178176,401.1615191,19.58808339,0.946772757,0,2,1,2015,1,3,400.2523993,-0.049866551,387.192839
2015-01-15,19.7920352,413.6627079,20.57276425,1.080613983,0,3,1,2015,1,3,403.516052,0.007136933,401.1615191
2015-01-16,20.41926107,403.0249979,21.86258947,0.98574289,0,4,1,2015,1,3,404.9010952,0.031690822,413.6627079
2015-01-17,20.23972714,393.0830218,19.00735853,0.979432813,0,5,1,2015,1,3,402.8355231,-0.008792381,403.0249979
2015-01-18,20.94882009,405.1701677,20.23418412,0.976808858,0,6,1,2015,1,3,401.9782616,0.035034709,393.0830218
2015-01-19,20.38304274,396.5800949,20.12546462,0.758988374,0,0,1,2015,1,4,399.9821926,-0.0270076,405.1701677
2015-01-20,20.17605471,423.0204256,22.04055802,0.949230257,0,1,1,2015,1,4,405.1004193,-0.010154913,396.5800949
2015-01-21,21.65996501,413.4158747,21.07659117,1.073317524,1,2,1,2015,1,4,406.8510415,0.073548091,423.0204256
2015-01-22,20.85895774,408.3250576,20.3629311,0.999859086,0,3,1,2015,1,4,406.08852,-0.036981005,413.4158747
2015-01-23,21.05007542,415.2498891,21.69619705,0.873681577,0,4,1,2015,1,4,407.8349331,0.009162379,408.3250576
2015-01-24,20.34815184,406.1084086,20.01932452,1.098763356,0,5,1,2015,1,4,409.6957026,-0.033345419,415.2498891
2015-01-25,20.83228746,411.0049626,22.71229202,0.972540224,0,6,1,2015,1,4,410.5292447,0.023792609,406.1084086
